Palabra                  Frecuencia     Longitud  
==================================================
1                        3              1         
10                       1              2         
102                      1              3         
104                      1              3         
106                      1              3         
108                      1              3         
111                      1              3         
114                      1              3         
117                      1              3         
121                      1              3         
124                      1              3         
127                      1              3         
13                       2              2         
130                      1              3         
132                      1              3         
133                      1              3         
136                      1              3         
139                      1              3         
142                      1              3         
146                      1              3         
149                      1              3         
1500                     1              4         
153                      1              3         
156                      1              3         
15foot                   1              6         
160                      1              3         
161                      1              3         
163                      1              3         
166                      1              3         
169                      1              3         
17                       1              2         
173                      1              3         
176                      1              3         
179                      1              3         
182                      2              3         
1919                     3              4         
1a                       1              2         
1b                       1              2         
1c                       2              2         
1d                       1              2         
1e                       2              2         
1e1                      5              3         
1e2                      1              3         
1e3                      1              3         
1e4                      1              3         
1e5                      1              3         
1e6                      1              3         
1e7                      3              3         
1e8                      4              3         
1e9                      3              3         
1f                       1              2         
1f1                      1              3         
1f2                      1              3         
1f3                      5              3         
1f4                      1              3         
1f5                      1              3         
1f6                      1              3         
2                        1              1         
20                       2              2         
2001                     1              4         
2025                     1              4         
23                       2              2         
26                       1              2         
29                       1              2         
3                        4              1         
30                       1              2         
32                       1              2         
35                       1              2         
38                       2              2         
4                        4              1         
41                       1              2         
45                       1              2         
48                       1              2         
5                        1              1         
50                       1              2         
5000                     1              4         
501c3                    1              5         
51                       1              2         
54                       1              2         
55                       1              2         
57                       1              2         
5961887                  1              7         
60                       2              2         
63                       1              2         
646221541                1              9         
66                       1              2         
69                       1              2         
7                        1              1         
72                       1              2         
75                       1              2         
77049                    1              5         
78                       1              2         
79                       1              2         
801                      1              3         
809                      1              3         
81                       1              2         
84                       1              2         
84116                    1              5         
87                       1              2         
89                       1              2         
9                        1              1         
90                       3              2         
93                       1              2         
96                       1              2         
99                       1              2         
a                        726            1         
abandon                  1              7         
abide                    1              5         
ablaze                   1              6         
able                     6              4         
aboard                   2              6         
about                    56             5         
about”                   1              6         
above                    12             5         
absolutely               1              10        
abundant                 1              8         
accept                   1              6         
accepted                 2              8         
accepting                1              9         
access                   10             6         
accessed                 1              8         
accessible               1              10        
accident                 3              8         
accordance               2              10        
accorded                 1              8         
account                  1              7         
accumulated              1              11        
aching                   1              6         
acquaintance             2              12        
acquired                 1              8         
acrid                    3              5         
across                   21             6         
action                   1              6         
active                   2              6         
actual                   3              6         
actually                 2              8         
add                      2              3         
added                    2              5         
addition                 1              8         
additional               3              10        
additions                1              9         
address                  1              7         
addresses                1              9         
advanced                 1              8         
advancing                1              9         
adventure                4              9         
adventures               7              10        
adversary                1              9         
advice                   1              6         
advise                   2              6         
advised                  1              7         
affairs                  2              7         
aflame                   2              6         
afraid                   16             6         
afraid”                  2              7         
after                    32             5         
afternoon                7              9         
afternoon’s              1              11        
afterward                1              9         
again                    33             5         
against                  12             7         
again”                   2              6         
age                      1              3         
agent                    1              5         
agree                    9              5         
agreed                   4              6         
agreement                18             9         
ah                       1              2         
ahead                    4              5         
aid                      4              3         
aided                    1              5         
air                      15             3         
air—for                  1              7         
aisles                   3              6         
alarm                    3              5         
alarmed                  1              7         
alarming                 1              8         
alas                     1              4         
alert                    1              5         
alien                    1              5         
all                      162            3         
allen                    3              5         
allow                    1              5         
allowed                  2              7         
all”                     6              4         
almost                   12             6         
alone                    7              5         
alone”                   1              6         
along                    33             5         
along”                   2              6         
already                  9              7         
also                     11             4         
alteration               1              10        
alternate                1              9         
although                 3              8         
altogether               4              10        
always                   17             6         
am                       2              2         
amazed                   2              6         
amazement                2              9         
amazing                  1              7         
ambled                   2              6         
ambling                  2              7         
among                    3              5         
amount                   1              6         
amused                   3              6         
amusement                3              9         
an                       60             2         
and                      837            3         
angered                  1              7         
angle                    1              5         
angles                   2              6         
angrily                  1              7         
angry                    12             5         
animal                   7              6         
animals                  3              7         
annoyance                1              9         
annoying                 1              8         
another                  32             7         
another’s                2              9         
answered                 2              8         
ant                      1              3         
anticipation             1              12        
ants                     5              4         
anxiety                  2              7         
anxious                  4              7         
anxiously                1              9         
any                      79             3         
anyone                   13             6         
anything                 15             8         
anything”                1              9         
anyway                   1              6         
anyway—at                1              9         
anyway”                  1              7         
anywhere                 7              8         
appealing                1              9         
appealingly              1              11        
appear                   1              6         
appearance               1              10        
appeared                 1              8         
appearing                2              9         
appears                  1              7         
appetite                 1              8         
apple                    1              5         
applicable               3              10        
applies                  2              7         
apply                    1              5         
appreciation             1              12        
approach                 5              8         
approached               3              10        
approaching              2              11        
april                    2              5         
apt                      2              3         
archive                  14             7         
are                      66             3         
area                     2              4         
aren’t                   3              6         
are—you                  1              7         
are”                     1              4         
arise                    1              5         
armed                    2              5         
armored                  2              7         
arms                     5              4         
aroma                    1              5         
arose                    2              5         
around                   27             6         
array                    1              5         
art                      1              3         
as                       301            2         
ascending                1              9         
ascii”                   2              6         
ash                      1              3         
ashore                   4              6         
aside                    1              5         
ask                      2              3         
asked                    19             5         
asking                   1              6         
asleep                   3              6         
assembled                1              9         
assistance               2              10        
associated               7              10        
assumed                  1              7         
assure                   3              6         
assuredly                1              9         
astonishment             1              12        
astounding               1              10        
astride                  2              7         
at                       180            2         
ate                      5              3         
